framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
695	9.219000	0.191000	3.690000	6.886000	21.680000	46.125462	201.751312
696	7.838000	0.179000	3.770000	7.889000	20.688000	48.337200	242.654022
697	6.682000	0.984000	3.691000	8.182000	20.816999	48.037663	271.858398
698	5.827000	0.206000	3.692000	7.445000	20.995001	47.630386	267.285370
699	6.645000	0.452000	3.733000	6.902000	20.641001	48.447262	212.595139
700	8.625000	0.299000	6.149000	3.437000	20.579000	48.593224	213.753906
701	7.364000	0.203000	3.690000	6.959000	20.889999	47.869797	227.611755
702	4.811000	0.202000	3.702000	9.272000	20.813000	48.046894	366.004791
703	2.971000	0.176000	3.752000	11.796000	20.676001	48.365253	604.724365
704	1.985000	0.200000	3.685000	11.083000	20.334999	49.176300	627.365540
705	3.119000	0.542000	3.704000	12.092000	21.100000	47.393364	653.848877
706	0.678000	0.182000	3.752000	13.589000	21.400000	46.728973	1768.905884
707	0.594000	0.172000	3.701000	14.266000	20.399000	49.022011	4198.632812
708	1.033000	0.437000	3.702000	12.048000	21.000999	47.616783	831.768921
709	0.683000	0.500000	3.738000	12.551000	19.625000	50.955414	1916.008301
710	0.501000	0.218000	2.344000	14.336000	18.913000	52.873684	7462.348145
711	0.538000	0.180000	3.707000	13.705000	19.988001	50.030014	7744.537598
712	0.947000	0.500000	7.740000	8.882000	19.864000	50.342327	5177.527832
713	0.524000	0.158000	3.757000	12.519000	19.044001	52.509975	2826.993652
714	0.475000	1.601000	1.671000	14.054000	19.514000	51.245258	997.402527
715	1.070000	0.162000	3.158000	11.635000	20.100000	49.751244	675.164795
716	3.410000	0.438000	3.851000	9.518000	17.986000	55.598801	588.693665
717	4.110000	1.977000	7.408000	2.822000	19.240999	51.972351	309.158020
718	9.493000	0.190000	3.718000	3.856000	19.003000	52.623268	185.918900
719	29.546000	0.160000	2.280000	0.565000	35.846001	27.897116	59.169853
720	15.561000	0.212000	3.664000	0.398000	21.097000	47.400105	116.150978
721	13.129000	0.441000	3.767000	0.457000	20.974001	47.678074	125.798515
722	11.888000	0.218000	3.658000	0.228000	17.971001	55.645203	159.363647
723	12.090000	1.087000	3.735000	0.531000	19.761999	50.602169	140.082077
724	13.026000	0.524000	3.729000	0.345000	21.396000	46.737709	126.030769
725	14.050000	0.201000	3.749000	0.755000	19.671000	50.836258	132.394760
726	12.333000	0.263000	4.189000	1.073000	20.351000	49.137634	141.795517
727	11.813000	0.932000	3.703000	0.735000	19.759001	50.609848	131.779510
728	16.615999	0.336000	6.162000	0.343000	24.771999	40.368160	108.118256
729	9.692000	0.183000	3.711000	0.618000	16.236000	61.591526	171.460449
730	11.955000	0.237000	3.695000	0.387000	18.079000	55.312794	145.122421
731	12.313000	0.500000	3.707000	0.729000	19.493000	51.300468	141.036041
732	13.061000	0.266000	3.662000	0.524000	19.541000	51.174454	133.236954
733	14.066000	0.229000	3.725000	0.618000	21.740000	45.998161	120.281906
734	12.311000	0.193000	3.693000	1.125000	20.966999	47.693996	139.140930
735	13.049000	0.246000	3.737000	0.646000	18.783001	53.239628	143.172287
